title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Winchester,movie,"Biography, Fantasy, Horror",2018,tt1072748,5.5,37631,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
Turbulência,movie,"Comedy, Romance",2016,tt5713456,4.8,42,BR
Cold War 2,movie,"Action, Crime, Drama",2016,tt5112622,6.5,3198,"HK, SG, TW"
Cedric the Entertainer: Live from the Ville,movie,Comedy,2016,tt5753806,6.3,748,"AD, AE, AG, AL, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CU, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MX, MY, NI, NL, NO, NZ, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SE, SI, SK, SM, SV, TC, TH, TR, TT, TW, TZ, US, UY, VE, ZA, ZM"
The Reunion 3,movie,Comedy,2016,tt4959548,5,1234,"DK, FI, NO, SE"
The Big Sick,movie,"Comedy, Drama, Romance",2017,tt5462602,7.5,145572,CA
Pinky Promise,movie,Drama,2016,,,,ID
The Heaven None Missed 2,movie,"Drama, Romance",2017,tt5946936,6.8,485,"ID, MY, PH, SG, TH"
Si Juki the Movie: Panitia Hari Akhir,movie,"Adventure, Animation, Comedy",2017,tt7547768,5.4,149,ID
Love and Fury,movie,"Drama, Romance",2016,tt4805816,5.7,568,"AT, BE, BG, CH, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, RO, SI, SK"
"Yolanda, the Secret of the Black Rose",movie,Animation,2000,tt10718254,7,37,"DE, ES, FR, GB, IE, IT"
Iliza Shlesinger: Confirmed Kills,movie,Comedy,2016,tt6081882,6.6,3162,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TR, TT, TW, TZ, US, UY, VE, ZA, ZM, ZW"
Russell Peters: Almost Famous,movie,Comedy,2016,tt5946232,6.6,2099,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Missing Woman,movie,"Drama, Mystery, Thriller",2016,tt6292996,6.5,1297,KR
The Mole Song: Hong Kong Capriccio,movie,"Action, Comedy, Crime",2016,tt5328802,6.3,386,JP
Monos,movie,"Adventure, Drama, Thriller",2019,tt6062774,6.8,19253,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
De père en flic 2,movie,Comedy,2017,tt6148090,6.6,960,CA
Bon Cop Bad Cop 2,movie,"Action, Comedy, Crime",2017,tt4738174,6.6,4476,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Børning 2,movie,"Action, Comedy",2016,tt4956984,5.9,2849,"DK, FI, NO, SE"
Divine Divas,movie,"Documentary, Musical",2016,tt2362790,7.8,405,BR
Holocausto Brasileiro,movie,Documentary,2016,tt6410688,7.9,480,"AR, BO, BR, CL, CO, CR, CU, DO, EC, GT, HN, MX, NI, PA, PE, PT, PY, SV, UY, VE"
Miséricorde,movie,"Drama, Mystery",2016,tt4930176,6.2,175,CH
In Darkness,movie,"Mystery, Thriller",2018,tt5164184,5.8,14444,"AD, FR, GF, MC, MU, PF"
CHIPS,movie,"Action, Comedy, Crime",2017,tt0493405,6,51730,"AD, AU, BE, ES, GB, GG, IE, NZ, PT"
Wildlife,movie,Drama,2018,tt5929754,6.8,32012,"CH, IT, KR, MC, MT, SM"
Girls Trip,movie,"Adventure, Comedy, Drama",2017,tt3564472,6.2,41285,"AE, BE, BH, BR, CA, DZ, EG, GB, GG, GI, IE, IL, IQ, JO, KW, LB, LU, LY, MA, NL, OM, PS, QA, SA, TD, TN, TZ, YE"
Buhah,movie,"Comedy, Romance",2005,tt0478404,5.6,1460,"AD, AE, AG, AL, AT, AZ, BA, BE, BG, BH, BM, BS, BY, BZ, CA, CH, CY, DE, DZ, EC, EE, EG, ES, FR, GB, GF, GG, GI, GR, GT, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KW, LB, LC, LI, LT, LV, LY, MC, ME, MK, MX, MY, NL, NO, NZ, PH, PL, PS, PT, QA, RO, RS, SA, SE, SG, SI, SK, TC, TH, TN, TR, TT, TW, TZ, US, UY"
"The Longer, The Better",movie,Comedy,1987,,,,"ID, MY, PH, TH"
La pelle dell'orso,movie,"Adventure, Drama",2016,tt6141468,6.5,234,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK"
Africano,movie,"Adventure, Comedy",2001,tt0290402,5.9,2045,"AE, BH, DZ, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE"
Die Beautiful,movie,"Comedy, Drama",2016,tt6186430,7.5,962,PH
Inseparables,movie,"Comedy, Drama",2016,tt5680678,6.6,1318,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Prima di lunedì,movie,Comedy,2016,tt6146080,5.1,253,"AT, BE, BG, CH, CZ, DE, ES, FR, GB, GR, HU, IS, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK"
